No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3
101,20056,BOOM DETERGEN 430GR,0,DETERGEN,DET,BKS,BKS,DOS
102,20057,BOTOL B,0,BTL,BTL,BTL,BTL,BTL
103,20058,BOTOL K,0,BTL,BTL,BTL,BTL,BTL
104,20059,BUBUR NESTLE CERELAC MR,0,CEREAL,CEREAL,RTG,RTG,DOS
105,20060,BUBUR NESTLE CERELAC HJ,0,CEREAL,CEREAL,RTG,RTG,DOS
106,20061,BUMBU RACIK TEMPE,0,BUMBU,BUMBU,RTG,LOS,DOS
107,20062,BUMBU RACIK SOP,0,BUMBU,BUMBU,RTG,LOS,DOS
108,20063,BUMBU RACIK ASEM,0,BUMBU,BUMBU,RTG,LOS,DOS
109,20064,BUMBU RACIK AYAM,0,BUMBU,BUMBU,RTG,LOS,DOS
110,20065,BUMBU RACIK IKAN,0,BUMBU,BUMBU,RTG,LOS,DOS
111,20066,BUMBU RACIK NASI GORENG,0,BUMBU,BUMBU,RTG,LOS,DOS
112,20067,xxx BIO PLUS 230ML,0,,,BKS,BKS,DOS
113,20068,xxx BIO PLUS 780ML,0,,,BKS,BKS,DOS
114,20069,Bubur Sun Merah,0,,,RTG,RTG,DOS
115,20070,BAWANG SICO,0,,,ONS,LOS,KG
116,20071,BRAMBANG PROB,0,,,KG,KG,KG
117,20072,BAWANG GORENG BJ 50gr,0,,,PCS,PRES,DOS
118,20073,BAWANG GORENG BJ 100GR,0,,,PCS,PRES,DOS
119,20074,BIO P500 BARU,0,,,RTG,PRES,DOS
120,20075,BERAS 25KG LOMBOK,0,,,KG,KG,ZAK
121,20076,BIHUN SAWI 1/4an,0,,,PCS,PCS,BAL
122,20077,BERAS 5KG LOMBOK,0,,,BKS,BKS,BKS
123,20078,Bubur Sun Hijau,0,,,RTG,RTG,DOS
124,20079,BERAS 10KG MENTARI,0,,,BKS,BKS,BKS
125,20080,BERAS MELON 3KG,0,,,BKS,BKS,BKS
126,20081,BERAS 5KG MANALAGI,0,,,BKS,BKS,BKS
127,20082,B________,0,,,PCS,PCS,PCS
128,20083,B________,0,,,PCS,PCS,PCS
129,20084,B________,0,,,PCS,PCS,PCS
130,20085,B________,0,,,PCS,PCS,PCS
131,30001,CARNATION MILK B,0,MILK,MILK,KLG,LOS,DOS
132,30002,CHARM ISI 1,0,PEMBALUT,PMBLT,RTG,RTG,DOS
133,30003,CHARM ISI 8,0,PEMBALUT,PMBLT,BKS,IKT,DOS
134,30004,CHARM MALAM ISI 2,0,PEMBALUT,PMBLT,RTG,RTG,DOS
135,30005,CHARM WING ISI 2,0,PEMBALUT,PMBLT,RTG,RTG,DOS
136,30006,CHEER / CLUB 600ML,0,MINUMAN,MIN,DOS,DOS,DOS
137,30007,CHEER / CLUB GLS,0,MINUMAN,MIN,DOS,DOS,DOS
138,30008,CHEER 1500ML,0,MINUMAN,MIN,DOS,DOS,DOS
139,30009,CHOCOLATOS Coklat,0,BUBUK,BUBUK,RTG,RTG,DOS
140,30010,CIPTADENT 195GR,0,PASTA GIGI,PSTG,KTK,LSN,DOS
141,30011,CIPTADENT 75GR ZONKKKK,0,PASTA GIGI,PSTG,KTK,LSN,DOS
142,30012,CITRUN GAJAH 50GR,0,CITRUN,CITRUN,RTG,PRES,DOS
143,30013,CLING PEMBERSIH KACA 425ML,0,SABUN CAIR,SBNCR,BKS,BKS,DOS
144,30014,CLOSEUP GREEN 110GR,0,PASTA GIGI,PSTG,KTK,LSN,DOS
145,30015,CLOSEUP GREEN 160GR,0,PASTA GIGI,PSTG,KTK,LSN,DOS
146,30016,CLOSEUP GREEN 65GR,0,PASTA GIGI,PSTG,KTK,LSN,DOS
147,30017,COCO MAXI,0,BUBUK,BUBUK,RTG,RTG,DOS
148,30018,CONDITIONER PANTENE SC,0,SHAMPOO,SHMP,RTG,RTG,DOS
149,30019,CUKA SUKA SARI,0,CUKA,CUKA,PAK,LSN,DOS
150,30020,CHRYSANTEMUM TEA DALI CHC,0,MINUMAN,MIN,KTK,KTK,DOS
151,30021,CABE BUBUK SPC,0,,,KG,KG,KG
152,30022,CUKA KKK Btl,0,,,BTL,BTL,DOS
153,30023,CENGKEH SUPER,0,,,KG,KG,KG
154,30024,CHOCOLATOS MATCHA,0,,,RTG,RTG,DOS
155,30025,CLEO Btl Mini,0,,,KRAT,KRAT,KRAT
156,30026,CHAMPION,0,,,RTG,RTG,DOS
157,30027,CIPTADENT 75GR 5+1,0,,,PCS,IKT,DOS
158,30028,C_______,0,,,PCS,PCS,PCS
159,30029,C________,0,,,PCS,PCS,PCS
160,30030,C________,0,,,PCS,PCS,PCS
161,30031,C________,0,,,PCS,PCS,PCS
162,30032,C________,0,,,PCS,PCS,PCS
163,30033,C________,0,,,PCS,PCS,PCS
164,30034,C________,0,,,PCS,PCS,PCS
165,30035,C________,0,,,PCS,PCS,PCS
166,30036,C________,0,,,PCS,PCS,PCS
167,30037,C________,0,,,PCS,PCS,PCS
168,30038,C________,0,,,PCS,PCS,PCS
169,40001,DAIA 380GR,0,DETERGEN,DET,BKS,LOS,DOS
170,40002,DAIA 800GR,0,DETERGEN,DET,BKS,LOS,DOS
171,40003,DAIA PK SC,0,DETERGEN,DET,LSN,LSN,DOS
172,40004,DANCOW CKLT SC 40GR,0,SUSU,SUSU,RTG,RTG,DOS
173,40005,DANCOW INS SC 27GR,0,SUSU,SUSU,RTG,RTG,DOS
174,40006,DARA BAKSO,0,MIE,MIE,BAL,BAL,BAL
175,40007,DESAKU TUMBAR P1000,0,BUMBU,BUMBU,RTG,PRES,DOS
176,40008,DOWNY 1000an,0,SABUN,SBN,LSN,LSN,DOS
177,40009,DOWNY 500an,0,SABUN,SBN,LSN,LSN,DOS
178,40010,DAIA / SOKLIN 555GR 10k,0,,,BKS,BKS,DOS
179,40011,DESAKU MARINASI,0,,,RTG,LOS,DOS
180,40012,DETERGEN BOOM CINTA / SAYANG 260GR 2+1,0,,,PCS,IKT,DOS
181,40013,DESAKU BAWANG PUTIH BUBUK SC,0,,,RTG,PRES,DOS
182,40014,DESAKU CABE BUBUK SC,0,,,RTG,RTG,DOS
183,40015,XXXXXX DESAKU TUMBAR P1000 BARU isi 36,0,,,RTG,PRES,DOS
184,40016,D_______,0,,,PCS,PCS,PCS
185,40017,D_______,0,,,PCS,PCS,PCS
186,40018,D_______,0,,,PCS,PCS,PCS
187,40019,D_______,0,,,PCS,PCS,PCS
188,40020,D_______,0,,,PCS,PCS,PCS
189,40021,D_______,0,,,PCS,PCS,PCS
190,40022,D_______,0,,,PCS,PCS,PCS
191,40023,D_______,0,,,PCS,PCS,PCS
192,40024,D_______,0,,,PCS,PCS,PCS
193,40025,D_______,0,,,PCS,PCS,PCS
194,40026,D_______,0,,,PCS,PCS,PCS
195,40027,D_______,0,,,PCS,PCS,PCS
196,40028,D_______,0,,,PCS,PCS,PCS
197,40029,D_______,0,,,PCS,PCS,PCS
198,50001,EDEL CREOLINE 1L,0,SABUN CAIR,SBNCR,KLG,KLG,DOS
199,50002,ENAK MILK C,0,MILK,MILK,KLG,KLG,DOS
200,50003,ENAK MILK P,0,MILK,MILK,KLG,KLG,DOS
201,50004,ENERGEN CEREAL Coklat,0,CEREAL,CEREAL,RTG,LOS,DOS
202,50005,ENERGEN CEREAL Vanilla,0,CEREAL,CEREAL,RTG,LOS,DOS
203,50006,ENERGEN CEREAL Kacang Hijau,0,CEREAL,CEREAL,RTG,LOS,DOS
204,50007,ENERGEN CEREAL Jahe XXXX,0,CEREAL,CEREAL,RTG,LOS,DOS
205,50008,ENERGEN CEREAL Kurma,0,CEREAL,CEREAL,RTG,RTG,DOS
206,50009,EXTRA JOSS,0,MINUMAN,MIN,KTK,PRES,DOS
207,50010,EDEL ABU GOSOK 250Gr,0,,,PCS,LOS,BAL
208,50011,EKONOMI PENCUCI 235ML,0,,,PCS,LOS,DOS
209,50012,E________,0,,,PCS,PCS,PCS
210,50013,E________,0,,,PCS,PCS,PCS
211,50014,E________,0,,,PCS,PCS,PCS
212,60001,FLORIDINA,0,MINUMAN,MIN,BTL,BTL,DOS
213,60002,FRAMBOZEN LAYAR,0,BAHAN KUE,BHNK,BTL,IKT,LSN
214,60003,FRAMBOZEN LONCENG,0,BAHAN KUE,BHNK,BTL,BTL,LSN
215,60004,F________,0,,,PCS,PCS,PCS
216,60005,F________,0,,,PCS,PCS,PCS
217,60006,F________,0,,,PCS,PCS,PCS
218,60007,F________,0,,,PCS,PCS,PCS
219,60008,F________,0,,,PCS,PCS,PCS
220,70001,GARAM GRASAK,0,GARAM,GRM,PRES,PRES,PRES
221,70002,GARAM GRASAK LOS,0,GARAM,GRM,KG,LOS,KG
222,70003,GARAM KAPAL 250 GR,0,GARAM,GRM,BKS,LOS,BAL
223,70004,GARAM Kotak cap Anak,0,GARAM,GRM,PRES,PRES,PRES
224,70005,GERIT,0,MISC,MISC,PCS,PCS,PRES
225,70006,GLICO 1K WAKU CKLT/STR 35ML,0,ES,ES,PCS,PCS,PCS
226,70007,GLICO 2K WAKU CKLT 50ML,0,ES,ES,PCS,PCS,DUS
227,70008,GLICO 3K JCONE JUNIOR 40ML,0,ES,ES,PCS,PCS,PCS
228,70009,GLICO 3K Mochi,0,ES,ES,PCS,PCS,PCS
229,70010,GLICO 3K WAKU CKLT 60ML,0,ES,ES,PCS,PCS,PCS
230,70011,GLICO 4K FROSTBITE CUP 90ML,0,ES,ES,PCS,PCS,PCS
231,70012,GLICO 4K FROSTBITE PARI 60ML,0,ES,ES,PCS,PCS,PCS
232,70013,GLICO 5K FROSTBITE VANILA 65ML,0,ES,ES,PCS,PCS,PCS
233,70014,GLICO 5K HAKU MONAKA,0,ES,ES,PCS,PCS,PCS
234,70015,GLICO 5K JCONE PARI 120ML,0,ES,ES,PCS,PCS,PCS
235,70016,GLICO 5K WAKU Ikan,0,ES,ES,PCS,PCS,PCS
236,70017,GOLDA,0,MINUMAN,MIN,BTL,BTL,DOS
237,70018,GOLOK SOHUN BESAR,0,BIHUN,BIHUN,BKS,LOS,ZAK
238,127000,GOLOK SOHUN KECIL,0,BIHUN,BIHUN,PRES,PRES,IKT
239,70020,GOOD DAY CAPPUCINO,0,KOPI,KOPI,RTG,LOS,DOS
240,70021,G 1 xxxx,0,KOPI,KOPI,RTG,PRES,DOS
241,70022,G xxxx,0,KOPI,KOPI,RTG,PRES,DOS
242,70023,G xxxx,0,KOPI,KOPI,RTG,PRES,DOS
243,70024,G xxx,0,KOPI,KOPI,RTG,PRES,DOS
244,70025,GULA DONAT,0,GULA,GULA,KG,KG,ZAK
245,70026,GULA HALUS ROSE / Legi,0,GULA,GULA,BKS,LOS,BAL
246,70027,GULA KBA,0,GULA,GULA,KG,KG,ZAK
247,70028,GULA KBB,0,GULA,GULA,KG,KG,ZAK
248,70029,GULA RMI biru,0,GULA,GULA,KG,KG,ZAK
249,70030,GULA MERAH,0,GULA,GULA,ONS,KG,BAL
250,70031,GULA MERAH SUPER,0,GULA,GULA,KG,KG,BAL
251,70032,GULA PALM SUGAR,0,GULA,GULA,ONS,KG,DOS
252,70033,GULA PASIR 1 KG,0,GULA,GULA,KG,KG,KG
253,70034,GULA PASIR LOS,0,GULA,GULA,KG,KG,KG
254,70035,GULA ROSE 1 KG,0,GULA,GULA,KG,KG,DOS
255,70036,GULAKU 1KG,0,GULA,GULA,BKS,BKS,DOS
256,70037,GULA CAIR JURIGEN,0,GULA,GULA,JRG,JRG,JRG
257,70038,GULA KBA KEMASAN 1KG,0,,,KG,LOS,DOS
258,70039,GOOD DAY Mr ,0,,,RTG,LOS,DOS
259,70040,GARAM Kotak Bata,0,,,PCS,PCS,PCS
260,70041,GULA MERAH SUPER PASIRIAN,0,,,KG,KG,BAL
261,70042,GOOD DAY Cklt,0,,,RTG,LOS,DOS
262,70043,GOOD DAY Br,0,,,RTG,LOS,DOS
263,70044,GOOD DAY LATTE ORI / BUTTER,0,,,RTG,RTG,DOS
264,70045,G________,0,,,PCS,PCS,PCS
265,70046,G________,0,,,PCS,PCS,PCS
266,80001,HAND BODY SIDIA,0,LOTION,LOT,PRES,LSN,DOS
267,80002,HANSAPLAST ISI 100,0,MISC,MISC,KTK,KTK,DOS
268,80003,HERS,0,PEMBALUT,PMBLT,BKS,BKS,DOS
269,80004,HAPPILY L,0,,,RTG,RTG,DOS
270,80005,HAPPILY M,0,,,RTG,RTG,DOS
271,80006,HAPPILY XL,0,,,RTG,RTG,DOS
272,80007,H________,0,,,PCS,PCS,PCS
273,80008,H________,0,,,PCS,PCS,PCS
274,80009,H________,0,,,PCS,PCS,PCS
275,80010,H________,0,,,PCS,PCS,PCS
276,80011,H________,0,,,PCS,PCS,PCS
277,80012,H________,0,,,PCS,PCS,PCS
278,80013,H________,0,,,PCS,PCS,PCS
279,90001,INDOMILK CKLT KLG,0,MILK,MILK,KLG,KLG,DOS
280,90002,INDOMILK CKLT SC,0,MILK,MILK,PRES,PRES,DOS
281,90003,INDOMILK PTH KLG,0,MILK,MILK,KLG,KLG,DOS
282,90004,INDOMILK PTH SC,0,MILK,MILK,PRES,PRES,DOS
283,90005,ISOPLUS,0,MINUMAN,MIN,DOS,DOS,DOS
284,90006,I________,0,KOPI,KOPI,PCS,PCS,PCS
285,90007,I________,0,KOPI,KOPI,PCS,PCS,PCS
286,90008,I________,0,KOPI,KOPI,PCS,PCS,PCS
287,90009,I________,0,KOPI,KOPI,PCS,PCS,PCS
288,90010,I________,0,KOPI,KOPI,PCS,PCS,PCS
289,90011,I________,0,KOPI,KOPI,PCS,PCS,PCS
290,90012,I________,0,KOPI,KOPI,PCS,PCS,PCS
291,90013,I________,0,KOPI,KOPI,PCS,PCS,PCS
292,90014,I________,0,KOPI,KOPI,PCS,PCS,PCS
293,90015,I________,0,KOPI,KOPI,PCS,PCS,PCS
294,100001,JAGUNG,0,PALAWIJA,PLWJ,KG,LOS,ZAK
295,100002,JELLY LOS SAKURA,0,BAHAN KUE,BHNK,ONS,ONS,KG
296,100003,JURIGEN KOSONG,0,MISC,MISC,JRG,JRG,JRG
297,100004,JAMUR KUPING SU,0,MISC,MISC,PCS,PCS,PCS
298,100005,JINTEN PUTIH,0,,,ONS,KG,KG
299,100006,J________,0,,,PCS,PCS,PCS
300,100007,J________,0,,,PCS,PCS,PCS
301,100008,J________,0,,,PCS,PCS,PCS
302,100009,J________,0,,,PCS,PCS,PCS
303,100010,J________,0,,,PCS,PCS,PCS
304,100011,J________,0,,,PCS,PCS,PCS
305,100012,J________,0,,,PCS,PCS,PCS
306,100013,J________,0,,,PCS,PCS,PCS
307,110001,KACANG HIJAU BUTEK,0,PALAWIJA,PLWJ,KG,LOS,ZAK
308,110002,KACANG HIJAU KUPAS GIOK,0,PALAWIJA,PLWJ,KG,LOS,ZAK
309,110003,KACANG RRC KUPAS,0,PALAWIJA,PLWJ,KG,BAL,DOS
310,110004,Kxxxxxxxxxx,0,PALAWIJA,PLWJ,KG,KG,KG
311,110005,KACANG TANAH 8MM,0,PALAWIJA,PLWJ,KG,KG,KG
312,110006,KANJI B 400gr,0,TEPUNG,TEPUNG,BKS,BKS,BAL
313,110007,KANJI B 200gr,0,TEPUNG,TEPUNG,BKS,BKS,BAL
314,110008,KANJI GAJAH LAUT 10KG,0,MISC,MISC,BKS,BKS,BAL
315,110009,KANJI GUNUNG DUS,0,TEPUNG,TEPUNG,BKS,BKS,DOS
316,110010,KANJI K 150 GR,0,TEPUNG,TEPUNG,BKS,BKS,BAL
317,110011,KANJI K MINI 1500an,0,TEPUNG,TEPUNG,BAL,BAL,BAL
318,110012,KANJI MAWAR,0,TEPUNG,TEPUNG,KG,LOS,ZAK
319,110013,KANJI PANDA,0,TEPUNG,TEPUNG,KG,LOS,ZAK
320,110014,KANJI TERONG,0,TEPUNG,TEPUNG,KG,LOS,ZAK
321,110015,KANJI TANI LTK 1KG,0,KANJI,KANJI,BKS,BKS,DOS
322,110016,KOPI KAPAL API FRESCO SUSU,0,KOPI,KOPI,RTG,RTG,DOS
323,110017,KARA BUBUK,0,FOOD,FOOD,RTG,RTG,DOS
324,110018,KARET PIALA / 999,0,MISC,MISC,BKS,BKS,KG
325,110019,KECAP 2 IKAN B,0,KECAP,KECAP,ISI,BTL,PETI
326,110020,KECAP 2 IKAN K,0,KECAP,KECAP,ISI,BTL,PETI
327,110021,KECAP ABC ASIN BTL 620ML,0,KECAP,KECAP,ISI,BTL,DOS
328,110022,KECAP ABC ASIN MJ 135ML,0,KECAP,KECAP,BTL,LOS,DOS
329,110023,KECAP ABC MANIS 6 KG JURIGEN,0,KECAP,KECAP,JRG,,
330,110024,KECAP ABC MANIS MJ 135ML,0,KECAP,KECAP,BTL,LOS,DOS
331,110025,KECAP ABC MANIS RV 225ML,0,KECAP,KECAP,BKS,BKS,DOS
332,110026,KECAP ABC MANIS RV 520ML,0,KECAP,KECAP,BKS,LOS,DOS
333,110027,KECAP ABC MANIS RV 60ML,0,KECAP,KECAP,BKS,BKS,DOS
334,110028,KECAP ABC MANIS SC 500 NEW,0,KECAP,KECAP,PRES,PRES,DOS
335,110029,KECAP ABC MANIS TG 275ML,0,KECAP,KECAP,BTL,BTL,DOS
336,110030,KECAP ASIN 150,0,KECAP,KECAP,BTL,BTL,DOS
337,110031,KECAP ASIN 250,0,KECAP,KECAP,BTL,BTL,LSN
338,110032,KECAP BADER B,0,KECAP,KECAP,BTL,LOS,DOS
339,110033,KECAP BADER K,0,KECAP,KECAP,ISI,BTL,PETI
340,110034,KECAP BANGO RV 200ML,0,KECAP,KECAP,BKS,LOS,DOS
341,110035,KECAP BANGO RV 550 ML / 700g,0,KECAP,KECAP,BKS,LOS,DOS
342,110036,KECAP BANGO RV 60ML,0,KECAP,KECAP,BKS,BKS,DOS
343,110037,KECAP BANGO SC 20 ML,0,KECAP,KECAP,RTG,RTG,DOS
344,110038,KECAP IKAN ILU NC,0,KECAP,KECAP,BTL,BTL,BTL
345,110039,KECAP KKK RAJA RASA B,0,KECAP,KECAP,BTL,BTL,DOS
346,110040,KECAP KKK RAJA RASA K,0,KECAP,KECAP,BTL,BTL,DOS
347,110041,KECAP KKK RAJA RASA T,0,KECAP,KECAP,BTL,BTL,DOS
348,110042,KECAP SAWI B,0,KECAP,KECAP,ISI,BTL,DOS
349,110043,KECAP SEDAP BTL,0,KECAP,KECAP,BTL,BTL,DOS
350,110044,KECAP SEDAP HIJAU 600ML,0,KECAP,KECAP,BKS,BKS,DOS
351,110045,KECAP SEDAP MJ 140ML,0,KECAP,KECAP,BTL,BTL,DOS
352,110046,KECAP SEDAP RV 225ML,0,KECAP,KECAP,BKS,LOS,DOS
353,110047,KECAP SEDAP RV 550 ML,0,KECAP,KECAP,BKS,LOS,DOS
354,110048,KECAP SEDAP RV 63ML,0,KECAP,KECAP,BKS,BKS,DOS
355,110049,KECAP SEDAP SC 500-AN,0,FOOD,FOOD,PRES,PRES,DOS
356,110050,KEDELE,0,PALAWIJA,PLWJ,KG,KG,KG
357,110051,KEDELE KUPAS,0,PALAWIJA,PLWJ,KG,KG,ZAK
358,110052,KEJU KRAFT 2KG,0,MISC,MISC,BOX,BOX,BOX
359,110053,KETAN HITAM,0,PALAWIJA,PLWJ,KG,LOS,ZAK
360,110054,KETAN SUPER Rajawali poles,0,PALAWIJA,PLWJ,KG,KG,ZAK
361,110055,KETAN SIEM SINTA,0,PALAWIJA,PLWJ,KG,LOS,ZAK
362,110056,KETAN VIET SUPER GSK,0,PALAWIJA,PLWJ,KG,LOS,ZAK
363,110057,KHONG GUAN,0,KUE,KUE,KTK,KTK,DOS
364,110058,KERTAS BUNGKUS GAJAH MR,0,MISC,MISC,PRES,IKT,ZAK
365,110059,KERTAS MERANG,0,MISC,MISC,IKT,IKT,IKT
366,110060,KISPRAY 300ML,0,SABUN CAIR,SBNCR,BKS,LOS,DOS
367,110061,KISPRAY SC,0,SABUN CAIR,SBNCR,RTG,IKT,PRES
368,110062,KIWI PASTA 45ML,0,MISC,MISC,PCS,KTK,DOS
369,110063,KODOMO ODOL,0,PASTA GIGI,PSTG,KTK,KTK,LSN
370,110064,KERTAS BUNGKUS GAJAH BR,0,,,PRES,IKT,ZAK
371,110065,K________,0,,,PCS,PCS,PCS
372,110066,KOPI,0,PALAWIJA,PLWJ,KG,KG,KG
373,110067,KOPI ABC SUSU,0,KOPI,KOPI,RTG,RTG,DOS
374,110068,KOPI ABC WHITE 5+1,0,KOPI,KOPI,RTG,RTG,DOS
375,110069,KOPI JAxxxxxxx,0,KOPI,KOPI,RTG,RTG,IKT
376,110070,KOPI KAPAL API GRANDE WHITE,0,KOPI,KOPI,RTG,RTG,DOS
377,110071,KOPI KAPAL API MANTAP,0,KOPI,KOPI,RTG,RTG,DOS
378,110072,KOPI KAPAL API xxxxxxx MUTU KHUSUS 65gr,0,KOPI,KOPI,RTG,RTG,DOS
379,110073,KOPI KAPAL API SPC 150GR,0,KOPI,KOPI,BKS,LOS,DOS
380,110074,KOPI KAPAL API SPC 30GR,0,KOPI,KOPI,RTG,RTG,DOS
381,110075,KOPI KAPAL API SPC 350 GR,0,KOPI,KOPI,BKS,BKS,DOS
