,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3,Satuan 4,Konversi 1,Konversi 2,Konversi 3,Konversi 4,Satuan Beli,Satuan Jual,Default Qty Jual,PPN,Keterangan,HJ 1 - Satuan 1,HJ 2 - Satuan 1,HJ 3 - Satuan 1,HJ 1- Satuan 2,HJ 2- Satuan 2,HJ 3- Satuan 2,HJ 1 - Satuan 3,HJ 2 - Satuan 3,HJ 3 - Satuan 3,HJ 1 - Satuan 4,HJ 2 - Satuan 4,HJ 3 - Satuan 4,Harga Perolehan,Harga Beli
30,10030,ATTACK EASY CAIR 42ML xxxxx,0,DETERGEN,DETERGEN,LSN,LSN,DOS,,1,1,12,0,3,1,0,0,,10500,0,0,10500,0,0,120000,0,0,0,0,0,0,0
31,10031,ATTACK JAZ1 60GR xxxxx,0,DETERGEN,DETERGEN,RTG,LSN,DOS,,1,2,24,0,3,2,0,0,,5000,0,0,10000,0,0,112000,0,0,0,0,0,4419.74,4415
32,10032,ATTACK JAZ1 900GR xxxxx,0,DETERGEN,DETERGEN,BKS,BKS,DOS,,1,1,12,0,3,1,0,0,,14000,0,0,14000,0,0,155000,0,0,0,0,0,0,0
33,10033,ATTACK SOFT EASY SC 50GR xxxxx,0,DETERGEN,DETERGEN,RTG,LSN,DOS,,1,2,24,0,3,1,0,0,,5000,0,0,10000,0,0,110000,0,0,0,0,0,0,0
34,10034,AUTAN SC,0,MISC,MISC,RTG,PRES,DOS,,1,12,96,0,3,1,0,0,,5500,0,0,65000,0,0,512500,0,0,0,0,0,4465.02,5026
35,10035,AXXXXXXXX,0,,,KG,KG,KG,,1,1,1,0,3,1,0,0,,45000,0,0,385000,0,0,385000,0,0,0,0,0,336736.84,342000
36,10036,AXXXXXXXXXXX,0,,,PCS,PRES,DOS,,1,10,120,0,3,2,0,0,,5000,0,0,53000,0,0,530000,0,0,0,0,0,4295.83,4295.83
37,10037,AJINO 100gr Rp 5000an,0,MSG,MSG,PCS,PRES,DOS,,1,12,120,0,3,2,0,0,,5000,0,0,53000,0,0,525000,0,0,0,0,0,4295.83,4295.83
38,10038,ALAMI,0,ROKOK,ROKOK,PRES,PRES,PRES,,1,1,1,0,1,1,0,0,,80000,0,0,0,0,0,0,0,0,0,0,0,76000,76000
39,10039,AQUVIVA 250ML,0,MINUMAN,MINUMAN,KRAT,KRAT,KRAT,,1,1,1,0,1,1,0,0,,19000,0,0,0,0,0,0,0,0,0,0,0,16319.95,16320
40,10040,AQUVIVA 700ML,0,MINUMAN,MINUMAN,BTL,BTL,KRAT,,1,12,12,0,3,3,0,0,,2500,0,0,2500,0,0,22000,0,0,0,0,0,1601.29,1606.67
41,10041,AQUVIVA 1600ML,0,MINUMAN,MINUMAN,BTL,BTL,KRAT,,1,1,6,0,3,3,0,0,,5000,0,0,4500,0,0,24000,0,0,0,0,0,3652.86,3658.83
42,10042,A________,0,,,PCS,PCS,PCS,,1,1,1,0,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,10043,A________,0,,,PCS,PCS,PCS,,1,1,1,0,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10044,A________,0,,,PCS,PCS,PCS,,1,1,1,0,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,20001,BABY HAPPY M,0,PEMBALUT,PEMBALUT,RTG,RTG,DOS,,1,1,8,0,3,1,0,0,,10000,0,0,10000,0,0,75000,0,0,0,0,0,14700.76,8700.63
46,20002,BABY HAPPY L,0,PEMBALUT,PEMBALUT,RTG,RTG,DOS,,1,1,8,0,3,1,0,0,,10000,0,0,10000,0,0,75000,0,0,0,0,0,8907.76,8980.75
47,20003,BABY HAPPY XL,0,PEMBALUT,PEMBALUT,RTG,RTG,DOS,,1,1,8,0,3,1,0,0,,13000,0,0,13000,0,0,92500,0,0,0,0,0,3302.93,11101.75
48,20005,BAKING POWDER,0,MISC,BAHAN KUE,ONS,KG,ZAK,,1,10,250,0,3,2,0,0,,6000,0,0,48500,0,0,1150000,0,0,0,0,0,3997.77,4000
49,20006,BAKING POWDER RW,0,MISC,BAHAN KUE,PRES,PRES,PRES,,1,1,1,0,3,1,0,0,,10000,0,0,10000,0,0,10000,0,0,0,0,0,7938.24,7938
50,20008,BATERAI ABC K.,0,MISC,MISC,IKT,KTK,DOS,,1,6,72,0,3,2,0,0,,11000,0,0,56000,0,0,650000,0,0,0,0,0,8610.72,8611.11
51,20009,BATERAI ABC REMOTE,0,MISC,MISC,PCS,IKT,LSN,,1,2,12,0,3,3,0,0,,2500,0,0,4000,0,0,25000,0,0,0,0,0,1954.18,1916.67
52,20010,BATERAI ABC T.,0,MISC,MISC,BIJI,BIJI,IKT,,1,1,2,0,3,1,0,0,,3000,0,0,3000,0,0,6000,0,0,0,0,0,0,0
