Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
103,020050 - BIHUN JAGUNG PADAMU OR. xxx,0,BKS,,,
104,020076 - BIHUN SAWI 1/4an,40,PCS,,,
105,020051 - BIO 200GR,468,BKS,,,
106,020052 - BIO 40GR xxx,0,BKS,,,
107,020053 - BIO P1000,1180,BKS,,,
108,020074 - BIO P500 BARU,1439,RTG,,,
109,020067 - BIO PLUS 230ML xxx,0,BKS,,,
110,020068 - BIO PLUS 780ML xxx,0,BKS,,,
111,020055 - BON CABE LV 15 / 30 xxx,0,RTG,,,
112,020056 - BOOM DETERGEN 430GR xxx,0,BKS,,,
113,020057 - BOTOL B,1988,BTL,,,
114,020058 - BOTOL K,9986,BTL,,,
115,020071 - BRAMBANG PROB,99999,KG,,,
116,020060 - BUBUR NESTLE CERELAC HJ xxx,0,RTG,,,
117,020059 - BUBUR NESTLE CERELAC MR xxx,0,RTG,,,
118,020078 - Bubur Sun Hijau,40,RTG,,,
119,020069 - Bubur Sun Merah,94,RTG,,,
120,020063 - BUMBU RACIK ASEM,38,RTG,,,
121,020064 - BUMBU RACIK AYAM,94,RTG,,,
122,020065 - BUMBU RACIK IKAN,55,RTG,,,
123,020066 - BUMBU RACIK NASI GORENG,94,RTG,,,
124,020062 - BUMBU RACIK SOP,156,RTG,,,
125,020061 - BUMBU RACIK TEMPE,71,RTG,,,
126,020084 - B________,0,PCS,,,
127,020085 - B________,0,PCS,,,
128,030021 - CABE BUBUK SPC,6,KG,,,
129,030001 - CARNATION MILK B,2171,KLG,,,
130,030023 - CENGKEH SUPER,924.55,KG,,,
131,030026 - CHAMPION xxx,0,RTG,,,
132,030002 - CHARM ISI 1,0,RTG,,,
133,030003 - CHARM ISI 8,14,BKS,,,
134,030004 - CHARM MALAM ISI 2,49,RTG,,,
135,030005 - CHARM WING ISI 2,40,RTG,,,
136,030006 - CHEER / CLUB 600ML xxx,0,DOS,,,
137,030007 - CHEER / CLUB GLS xxx,0,DOS,,,
138,030008 - CHEER 1500ML xxx,0,DOS,,,
139,030009 - CHOCOLATOS Coklat,524,RTG,,,
140,030024 - CHOCOLATOS MATCHA / kurma,352,RTG,,,
141,030020 - CHRYSANTEMUM TEA DALI CHC,40,KTK,,,
142,030010 - CIPTADENT 195GR,127,KTK,,,
143,030027 - CIPTADENT 75GR 5+1,388,PCS,,,
144,030011 - CIPTADENT 75GR xxx,0,KTK,,,
145,030012 - CITRUN GAJAH 50GR,796,RTG,,,
146,030025 - CLEO Btl Mini,0,KRAT,,,
147,030013 - CLING PEMBERSIH KACA 425ML,14,BKS,,,
148,030014 - CLOSEUP GREEN 110GR xxx,0,KTK,,,
149,030015 - CLOSEUP GREEN 160GR xxx,0,KTK,,,
150,030016 - CLOSEUP GREEN 65GR,0,KTK,,,
151,030017 - COCO MAXI,394,RTG,,,
152,030018 - CONDITIONER PANTENE SC,85,RTG,,,
153,030039 - CRH KANJI MAWAR 1 KG,999075,KG,,,
,,5,,,,
25/05/2026 15:20:20,,,,Halaman ke 3 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
154,130061 - CRH MINYAK CR,979063,KG,,,
,,7,,,,
155,030042 - CRH TERIGU CAKRA 1KG,999863,KG,,,
,,25,,,,
156,030040 - CRH TERIGU PAYUNG 1KG,998761,KG,,,
,,5,,,,
157,030041 - CRH TERIGU SGTG 1KG,998405,KG,,,
,,25,,,,
158,030022 - CUKA KKK Btl,14,BTL,,,
159,030019 - CUKA SUKA SARI,275,PAK,,,
160,030028 - C_______,0,PCS,,,
161,030029 - C________,0,PCS,,,
162,030030 - C________,0,PCS,,,
163,030031 - C________,0,PCS,,,
164,030032 - C________,0,PCS,,,
165,030033 - C________,0,PCS,,,
166,030034 - C________,0,PCS,,,
167,030035 - C________,0,PCS,,,
168,030036 - C________,0,PCS,,,
169,030037 - C________,0,PCS,,,
170,030038 - C________,0,PCS,,,
171,040010 - DAIA / SOKLIN 555GR 10k,200,BKS,,,
172,040001 - DAIA 230GR 5000an,1377,BKS,,,
173,040017 - DAIA 2700GR,14,PCS,,,
174,040002 - DAIA 800GR,89,BKS,,,
175,040003 - DAIA PK SC,220,LSN,,,
176,040004 - DANCOW CKLT SC 40GR,23,RTG,,,
177,040005 - DANCOW INS SC 27GR,399,RTG,,,
178,040006 - DARA BAKSO,8,BAL,,,
179,040016 - DESAKU BAWANG PUTIH BUBUK SC baru,199,RTG,,,
180,040014 - DESAKU CABE BUBUK SC,11,RTG,,,
181,040011 - DESAKU MARINASI,451,RTG,,,
182,040007 - DESAKU TUMBAR P1000,74,RTG,,,
183,040012 - DETERGEN BOOM CINTA / SAYANG 260GR 2+1,195,PCS,,,
184,040008 - DOWNY 1000an,65,LSN,,,
185,040009 - DOWNY 500an,13,LSN,,,
186,040018 - D_______,0,PCS,,,
187,040019 - D_______,0,PCS,,,
188,040020 - D_______,0,PCS,,,
189,040021 - D_______,0,PCS,,,
190,040022 - D_______,0,PCS,,,
191,040023 - D_______,0,PCS,,,
192,040024 - D_______,0,PCS,,,
193,040025 - D_______,0,PCS,,,
194,040026 - D_______,0,PCS,,,
195,040027 - D_______,0,PCS,,,
196,040028 - D_______,0,PCS,,,
197,040029 - D_______,0,PCS,,,
198,050010 - EDEL ABU GOSOK 250Gr,6,PCS,,,
199,050001 - EDEL CREOLINE 1L xxx,0,KLG,,,
200,000050 - EKONOMI PENCUCI 2+1,999543,PCS,,,
201,050011 - EKONOMI PENCUCI 235ML,1,PCS,,,
202,050002 - ENAK MILK C xxx,0,KLG,,,
203,050003 - ENAK MILK P xxx,0,KLG,,,
25/05/2026 15:20:20,,,,Halaman ke 4 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
204,050004 - ENERGEN CEREAL Coklat,326,RTG,,,
205,050007 - ENERGEN CEREAL Jahe XXXX,0,RTG,,,
206,050006 - ENERGEN CEREAL Kacang Hijau,84,RTG,,,
207,050008 - ENERGEN CEREAL Kurma xxx,0,RTG,,,
208,050005 - ENERGEN CEREAL Vanilla,128,RTG,,,
209,050009 - EXTRA JOSS,132,KTK,,,
210,050012 - E________,0,PCS,,,
211,050013 - E________,0,PCS,,,
