Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
466,110109 - KXXX JAMBU XXXX,0,PCS,,,
467,110108 - KXXX JERUK XXXX,0,PCS,,,
468,110106 - KXXX KELAPA XXXX,0,PCS,,,
469,110107 - KXXX LECI XXXX,0,PCS,,,
470,110110 - KXXX MANGGA XXXX,0,PCS,,,
471,110111 - KXXX MELON XXXX,0,PCS,,,
472,110113 - KXXX SIRSAK XXXX,0,PCS,,,
473,110112 - KXXX STRAWBERRY XXXX,0,PCS,,,
474,110004 - Kxxxxxxxxxx,0,KG,,,
475,110154 - K____,0,KG,,,
476,110065 - K________,0,PCS,,,
477,120001 - LADAKU 1000AN,799,RTG,,,
478,120002 - LAKBAN BESAR xxx,50,PCS,,,
479,120003 - LAURIER MAXI ISI 8,264,BKS,,,
480,120004 - LAURIER SLIM RTG,0,RTG,,,
481,120005 - LIFREE POPOK L xxx,0,RTG,,,
482,120006 - LIFREE POPOK M xxx,0,RTG,,,
483,120007 - LIFREE POPOK XL xxx,0,RTG,,,
484,120008 - LILIN POPULAR,441,PAK,,,
485,120010 - LKK BLACK PEPPER 230Gr,0,PCS,,,
486,120011 - LKK SAOS TIRAM 770Gr,0,PCS,,,
487,120009 - LUW   xxxx ,0,RTG,,,
488,120014 - LUWAK GULA,84,RTG,,,
489,120013 - LUWAK MINI,74,RTG,,,
490,120012 - LUWAK WHITE ISI 12,672,RTG,,,
491,120015 - L________,0,PCS,,,
492,120016 - L________,0,PCS,,,
493,120017 - L________,0,PCS,,,
494,120018 - L________,0,PCS,,,
495,120019 - L________,0,PCS,,,
496,130140 - MADU TJ xxx,0,KTK,,,
497,130001 - MADURASA xxx,0,KTK,,,
498,130155 - MAGIC LEZAT 10+1 NEW,462,RTG,,,
499,130003 - MAIZENA KTK HAWAI,332,KTK,,,
500,130004 - MAIZENA LOS,153.5,KG,,,
501,130129 - MAKARONI SEDANI xxx,0,BKS,,,
502,130132 - MAKARONI SRIKANDI,32,PCS,,,
503,130005 - MAMA KUAH BAKSO,94,RTG,,,
504,130006 - MAMA KUAH SOP,0,RTG,,,
505,130157 - MAMA LEMON 230GR 4000an,384,BKS,,,
506,130007 - MAMA LEMON RF 105ML,2364,BKS,,,
507,130008 - MAMA LEMON RF80ML,905,BKS,,,
508,130009 - MAMA LEMON RV 800ML,6088,BKS,,,
509,130145 - MAMA SUKA TEPUNG BAKWAN New xxx,0,RTG,,,
510,130011 - MAMA TEPUNG BAKSO xxx,0,RTG,,,
511,130010 - MAMA xxxxxx,0,PRES,,,
512,130013 - MAMY POKO L,58,RTG,,,
513,130012 - MAMY POKO M,39,RTG,,,
25/05/2026 15:20:20,,,,Halaman ke 10 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
514,130014 - MAMY POKO S xxx,0,RTG,,,
515,130156 - MAMY POKO XL RTG 4+1,24,RTG,,,
516,130016 - MARJAN SIRUP,73,BTL,,,
517,130017 - MASAKO 250GR,80,BKS,,,
518,130018 - MASAKO B. P500 AYM,889,RTG,,,
519,130019 - MASAKO B. P500 SP,3139,RTG,,,
520,130143 - MASAKO SAPI 1KG,0,BKS,,,
521,130020 - MERICA BUBUK SPC,9408.7,ONS,,,
522,130021 - MERICA BUNDAR,588.1,ONS,,,
523,130022 - MERICA PELANGI,58,BKS,,,
524,130023 - MESES B9,806,ONS,,,
525,130154 - MESES NURI,25,KG,,,
526,130024 - MICIN LOS,1335.9,ONS,,,
527,130025 - MIE DARA KERITING,151,BKS,,,
528,130026 - MIE DARA LEBAR,19,BAL,,,
529,130027 - MIE DARA PIPIH,263,BKS,,,
530,130127 - MIE EKO MIE,0,PRES,,,
531,130149 - MIE EKO MIE BUMBU GORENG,595,BKS,,,
532,130130 - MIE EKO MIE ISI 2,846,PCS,,,
533,130028 - MIE GELUNG JANTAYU,92,PRES,,,
534,130033 - MIE INDOMIE  ACEH / Geprek,915,BKS,,,
535,130029 - MIE INDOMIE AYM BWG,1399,BKS,,,
536,130030 - MIE INDOMIE AYM SP,99,BKS,,,
537,130031 - MIE INDOMIE GR,3561,BKS,,,
538,130144 - MIE INDOMIE GR JUMBO,48,PCS,,,
539,130032 - MIE INDOMIE KARE,287,BKS,,,
540,130037 - MIE INDOMIE KRIUK,240,BKS,,,
541,130034 - MIE INDOMIE RENDANG,476,BKS,,,
542,130036 - MIE INDOMIE SOTO SP,1338,BKS,,,
543,130035 - MIE INDOMIE SOTO/RAWON,387,BKS,,,
544,130038 - MIE INTERMIE INDOMIE,4870,BKS,,,
545,130040 - MIE JANTAYU GP,34,PRES,,,
546,130041 - MIE KENDURI HJ.,0,PRES,,,
547,130042 - MIE KENDURI OR.,74,PRES,,,
548,130045 - MIE KUDA MENJANGAN K,659,BKS,,,
549,130151 - MIE KUDA MENJANGAN KL kecil,11,BAL,,,
550,130043 - MIE KUDA MENJANGAN KL LEBAR,92,BAL,,,
551,130044 - MIE KUDA MENJANGAN L,629,BKS,,,
552,130046 - MIE SEDAP CUP GR xxx,0,BKS,,,
553,130047 - MIE SEDAP CUP KUAH xxx,-1,BKS,,,
554,130048 - MIE SEDAP GR,8761,BKS,,,
555,130049 - MIE SEDAP GR Korea / devina,3177,BKS,,,
556,130052 - MIE SEDAP KUAH AYAM BWG,278,BKS,,,
557,130051 - MIE SEDAP KUAH KARE SPC,1045,BKS,,,
558,130053 - MIE SEDAP KUAH Lain,280,BKS,,,
559,130050 - MIE SEDAP KUAH SOTO,4748,BKS,,,
560,130152 - MIE SUKSES GEPREK,3240,PCS,,,
561,130054 - MIE SUKSES GR KECAP /  RD / ACEH,309,BKS,,,
562,130153 - MIE SUKSES KREMES,1312,PCS,,,
563,130055 - MIE SUKSES KUAH AB,672,BKS,,,
564,130056 - MIE TELUR 3 AYAM MR/KN,80,BKS,,,
565,130039 - MIE xxxxxxxxxxxxxxxx JANTAYU 1KG ISI 10 xxx,0,PRES,,,
25/05/2026 15:20:20,,,,Halaman ke 11 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
566,130057 - MIHUN KIJANG 1/4KG,310,BKS,,,
567,130058 - MILKU SUSU UHT Coklat,12,BTL,,,
568,130148 - MILKU SUSU UHT ORI,24,BTL,,,
569,130059 - MILKU SUSU UHT Strawbery,6,BTL,,,
570,130060 - MILO SC 22GR,1080,RTG,,,
571,130158 - MINYAK CR JRG 16kg,560,KG,,,
572,130123 - MINYAK GR 2L mix,26,BKS,,,
573,130096 - MINYAK GR ALCO 18L Premium xxx,0,JRG,,,
574,130077 - MINYAK GR ALCO 1L xxx,0,BKS,,,
575,130062 - MINYAK GR ALIBABA 1L,0,BKS,,,
576,130095 - MINYAK GR AMAGO 2L xxx,0,BKS,,,
577,130064 - MINYAK GR BIMOLI CL 18L,3,JRG,,,
578,130066 - MINYAK GR BIMOLI CL 1L xxx,0,BKS,,,
579,130067 - MINYAK GR BIMOLI CL 2L,24,BKS,,,
580,130065 - MINYAK GR BIMOLI CL 5L,17,JRG,,,
581,130069 - MINYAK GR BIMOLI SP 1L xxx,0,BKS,,,
582,130070 - MINYAK GR BIMOLI SP 2L xxx,0,BKS,,,
583,130068 - MINYAK GR BIMOLI SP 5L xxx,0,JRG,,,
584,130071 - MINYAK GR DORANG 450ML xxx,0,IKT,,,
585,130125 - MINYAK GR FILMA 1L xxx,0,PCS,,,
586,130072 - MINYAK GR FILMA 2L,32,BKS,,,
587,130084 - MINYAK GR Fitri 800ml,84,BKS,,,
588,130074 - MINYAK GR FORTUNE 1L BANTAL,524,BKS,,,
589,130086 - MINYAK GR fortune SANIA SOVIA 2L,232,BKS,,,
590,130080 - MINYAK GR FRAIS WELL 1L,363,BKS,,,
591,130081 - MINYAK GR FRAIS WELL 2L xxx,0,BKS,,,
592,130082 - MINYAK GR FRAIS WELL 500ml,676,BKS,,,
593,130083 - MINYAK GR FRAIS WELL 5L xxx,0,JRG,,,
594,130076 - MINYAK GR KITA 5L,0,JRG,,,
595,130128 - MINYAK GR KITA RV 1L,0,PCS,,,
596,130147 - MINYAK GR KITA RV PILLOW 1L xxx,0,BKS,,,
597,130075 - MINYAK GR KUDA 500ML xxx,0,BTL,,,
598,130078 - MINYAK GR KUNCI MAS 2L xxx,0,BKS,,,
599,130146 - MINYAK GR RIZKY 800ML BTL,629,BTL,,,
600,130079 - MINYAK GR ROSE CUP,775,PCS,,,
601,130085 - MINYAK GR SABRINA 2L xxx,0,BKS,,,
602,130126 - MINYAK GR SABRINA 450ML xxx,0,PCS,,,
603,130133 - MINYAK GR SAFIR BOTOL 1L,1056,PCS,,,
604,130087 - MINYAK GR SEDAP 1L xxx,0,BKS,,,
605,130094 - MINYAK GR SEDAP 20L xxx,0,JRG,,,
606,130088 - MINYAK GR SEDAP 2L xxx,0,BKS,,,
607,130073 - MINYAK GR sovia FORTUNE 1L,93,BKS,,,
608,130089 - MINYAK GR SUNCO 1L xxx,0,BKS,,,
609,130090 - MINYAK GR SUNCO 2 L,385,BKS,,,
610,130091 - MINYAK GR SUNCO 500ML xxx,0,BKS,,,
611,130092 - MINYAK GR SUNCO 5L xxx,0,JRG,,,
612,130093 - MINYAK GR TROPICAL BTL 2L,18,BKS,,,
613,130122 - MINYAK GR XXXX,0,BKS,,,
614,130063 - MINYAK GR XXXXXXX,0,BKS,,,
615,130097 - MINYAK KAYU PUTIH CAP LANG 60ML,72,BTL,,,
616,130124 - MINYAK KUNCIMAS 900ML xxx,0,PCS,,,
617,130142 - MINYAK POLOS 800ML xxx,0,BTL,,,
25/05/2026 15:20:20,,,,Halaman ke 12 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
618,130141 - MINYAK POLOS 900ML xxx,0,BTL,,,
619,130098 - MINYAK TAWON DD xxx,0,BTL,,,
620,130099 - MINYAK TELON GAJAH 120ML xxx,0,BTL,,,
621,130100 - MINYAK TELON GAJAH 60ML xxx,0,BTL,,,
622,130121 - MINYAK WIJEN 135ML PEGASUS xxx,0,PCS,,,
623,130101 - MINYAK WIJEN KUDA PAL,10,BTL,,,
624,130102 - MINYAK WIJEN LOWO 620ML xxx,0,BTL,,,
625,130134 - MINYAK WIJEN MEJA 135ML LB,0,PCS,,,
626,130131 - MIRI BULAT,501710,ONS,,,
627,130103 - MIRI PECAH,994803,ONS,,,
,,0,,,,
628,130104 - MLINJO EMPING,181.5,ONS,,,
629,130105 - MOLTO ALL IN 18ML SC,148,RTG,,,
630,130106 - MOLTO ALL IN SC 500,84,RTG,,,
631,130107 - MOLTO PEWANGI 450ML xxx,0,BKS,,,
632,130108 - MOLTO PEWANGI 800ML,5994,BKS,,,
633,130109 - MOLTO SOFTENER 800ML xxx,0,BKS,,,
634,130110 - MTG AMANDA 1/4KG,313,BKS,,,
635,130111 - MTG AMANDA 15KG,0,KG,,,
636,130112 - MTG BLUE BAND 15KG,8,KG,,,
637,130113 - MTG BLUE BAND 45GR P4000AN xxx,0,RTG,,,
638,130114 - MTG BLUE BAND MASTER 4.5KG xxx,0,KTK,,,
639,130115 - MTG BLUE BAND SC 200GR,0,BKS,,,
640,130116 - MTG BLUE BAND STICK 2000AN xxx,0,RTG,,,
641,130117 - MTG FORVITA FILMA 200GR,10362,BKS,,,
642,130118 - MTG SIMAS 15KG,397,KG,,,
643,130119 - MTG SIMAS 5KG,-1,DOS,,,
644,130120 - MUTIARA KUCING,6768,BKS,,,
645,SS______ - New Product #SS______,0,BTL,,,
646,140002 - NIKISARI SAOS SAMBAL,322,BKS,,,
647,140001 - NIKISARI SAOS TOMAT,124,BKS,,,
648,140003 - NUTRIJELL K ANGGUR,1066,BKS,,,
649,140010 - NUTRIJELL K COKLAT,693,BKS,,,
650,140012 - NUTRIJELL K JAMBU,517,BKS,,,
651,140006 - NUTRIJELL K JERUK,494,BKS,,,
652,140004 - NUTRIJELL K KELAPA MUDA,518,BKS,,,
653,140013 - NUTRIJELL K KURMA CINCAU,72,BKS,,,
654,140005 - NUTRIJELL K LECI,347,BKS,,,
655,140007 - NUTRIJELL K MANGGA,164,BKS,,,
656,140008 - NUTRIJELL K MELON,737.5,BKS,,,
657,140014 - NUTRIJELL K PLAIN,0,BKS,,,
658,140009 - NUTRIJELL K STRAWBERRY,525.5,BKS,,,
659,140011 - NUTRISARI xxx,0,RTG,,,
660,140015 - N________,0,PCS,,,
661,140016 - N________,0,PCS,,,
662,140017 - N________,0,PCS,,,
663,140018 - N________,0,PCS,,,
664,140019 - N________,0,PCS,,,
665,140020 - N________,0,PCS,,,
666,140021 - N________,0,PCS,,,
667,150001 - O________,0,PCS,,,
668,150002 - O________,0,PCS,,,
25/05/2026 15:20:20,,,,Halaman ke 13 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
669,150003 - O________,0,PCS,,,
670,150004 - O________,0,PCS,,,
671,150005 - O________,0,PCS,,,
672,150006 - O________,0,PCS,,,
673,150007 - O________,0,PCS,,,
674,150008 - O________,0,PCS,,,
675,150009 - O________,0,PCS,,,
676,150010 - O________,0,PCS,,,
677,160001 - PAK MAYA / ANGEL 500gr,19,BKS,,,
678,190020 - PAK MAYA SC 11GR,31,PCS,,,
679,160029 - PALA,917.7,Ons,,,
680,160031 - Pasta MORIZA xxx,0,PCS,,,
681,160032 - PEKAK BUNGA LAWANG 1KG xxx,0,BKS,,,
682,160002 - PEMPEK KTLM,49564,PCS,,,
683,160003 - PEMPEK KTLM ADAAN,0,PAK,,,
684,160004 - PEMPEK KTLM KAPAL SELAM KECIL,0,PAK,,,
685,160005 - PEMPEK KTLM KERITING,0,PAK,,,
686,160006 - PEMPEK KTLM LENJER,0,PAK,,,
687,160030 - PEMUTIH KUE xxx,0,ONS,,,
688,160007 - PEPSODENT 120GR,0,KTK,,,
689,160008 - PEPSODENT 190GR,269,KTK,,,
690,160009 - PEPSODENT 75GR,4711,KTK,,,
691,160010 - PEPSODENT HERBAL 190GR,2,KTK,,,
692,160011 - PEPSODENT HERBAL 65GR,319,KTK,,,
693,160012 - PETIS SL,0,ISI,,,
694,160034 - PLASTIK BOYO HDPE 1/2kg,8,PCS,,,
695,160035 - PLASTIK BOYO HDPE 1kg,25,PCS,,,
696,160025 - PLASTIK PE APOLO 1.5KG 18x30,0,BKS,,,
697,160023 - PLASTIK PE APOLO 1/2kg 12x24,119,BKS,,,
698,160022 - PLASTIK PE APOLO 1/4kg 10x20,78,BKS,,,
699,160024 - PLASTIK PE APOLO 1KG 15x27,156,BKS,,,
700,160026 - PLASTIK PE APOLO 2KG 18x35,116,BKS,,,
701,160027 - PLASTIK PE APOLO 3KG 25x40,49,BKS,,,
702,160013 - PLASTIK PE xxxx,0,BKS,,,
703,160014 - PLASTIK PP SEMUT xxx,0,BKS,,,
704,160015 - PLASTIK TIKTAS HD PE 1 1/2KG,19,BKS,,,
705,160016 - PLASTIK TIKTAS HD PE 1/2KG,48,BKS,,,
706,160017 - PLASTIK TIKTAS HD PE 1/4KG,66,BKS,,,
707,160018 - PLASTIK TIKTAS HD PE 1KG,51,BKS,,,
708,160019 - PLASTIK TIKTAS HD PE 2KG,0,BKS,,,
709,160020 - POP MIE B,256,BKS,,,
710,160021 - POP MIE K xxx,-2,BKS,,,
711,160028 - POTABEE SNACK RTG xxx,0,RTG,,,
712,990002 - PROMO SUNLIGHT 90ML 5+1 xxx,0,PCS,,,
713,990001 - PROMO xxx kec sed 5+1 xxx,0,PCS,,,
714,160037 - PROTEX ISI 8,0,BKS,,,
715,160036 - PROTEX RTG DAUN SIRIH,23,RTG,,,
716,160033 - P________,0,PCS,,,
717,180026 - RAGI TAPE NKL,90,BKS,,,
718,180025 - RAMEN YES HAKATA 2+1,446,PCS,,,
719,180001 - RAPIKA RF 450ML,10,BKS,,,
720,180002 - RAPIKA SC,33,LSN,,,
25/05/2026 15:20:20,,,,Halaman ke 14 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
721,180003 - REALGOOD MILK CK/STR xxx,0,BKS,,,
722,180004 - REXONA SC.,52,RTG,,,
723,180022 - RICE VINEGAR NC TTS cuka jepang,12,BTL,,,
724,180020 - RINSO 195GR P5000 ISI 18,481,BKS,,,
725,180005 - RINSO 770 GR,23,BKS,,,
726,180006 - RINSO CAIR 800ML,53,BKS,,,
727,180007 - RINSO CAIR SC. (isi 12 lsn),54,LSN,,,
728,180024 - RINSO CAIR SC. (ISI 8),-10,LSN,,,
729,180027 - RINSO SC 40GR BARU,25.5,LSN,,,
730,180009 - RINSO SC 50GR,163,LSN,,,
731,180008 - RINxx xxxx,0,BKS,,,
732,180017 - ROYCO AYAM 1KG,36,BKS,,,
733,180021 - ROYCO AYAM 220gr,473,PCS,,,
734,180023 - ROYCO IKAN SC,63,RTG,,,
735,180016 - ROYCO SAPI 220GR,242,BKS,,,
736,180019 - ROYCO SC 500AN AYM,578,RTG,,,
737,180018 - ROYCO SC 500AN SP,1243,RTG,,,
738,180028 - R________,0,PCS,,,
739,180029 - R________,0,PCS,,,
740,190126 - S XXXXX   SUPERSOL SC,0,LSN,,,
741,190125 - S XXXXX SUPERSOL RV48ML,0,BKS,,,
742,190001 - SABUN ASEPSO,31,BKS,,,
743,190002 - SABUN BABY CUSSON 80GR,410,BKS,,,
744,190003 - SABUN CITRA xxx,0,BKS,,,
745,190004 - SABUN DETTOL B.,-15,BKS,,,
746,190005 - SABUN DETTOL K,713,BKS,,,
747,190006 - SABUN FRES,68,BKS,,,
748,190007 - SABUN GIV,4910,BKS,,,
749,190008 - SABUN GIV CAIR RV k,235,BKS,,,
750,190010 - SABUN HARMONI,2107.5,BKS,,,
751,190011 - SABUN JF SULFUR xxx,0,BKS,,,
752,190012 - SABUN KODOK O,2433,BKS,,,
753,190013 - SABUN LIFEBOY,365,BKS,,,
754,190014 - SABUN LUX,104,BKS,,,
755,190015 - SABUN MEDICARE,919,BKS,,,
756,190180 - SABUN NUVO 3+1,84,PCS,,,
757,190009 - SABUN NUVO CAIR RV k,301,BKS,,,
758,190016 - SABUN NUVO xxxxxxxxxxxx,0,BKS,,,
759,190017 - SABUN SEHAT,0,BKS,,,
760,190018 - SABUN SHINZUI,702,BKS,,,
761,190179 - SABUN ZEN,0,PCS,,,
762,190019 - SAFT INSTANT GOLD 500GR,17,BKS,,,
763,190176 - SAFT MINI SC,1747,PCS,,,
764,190181 - SAJIKU 220gr,80,BKS,,,
765,190021 - SAJIKU NASI GORENG,30,RTG,,,
766,190022 - SAJIKU TEPUNG BUMBU K.1500,0,RTG,,,
767,190166 - SAMBAL DUA BELIBIS JRG ,2,JRG,,,
768,190023 - SAMBAL TERASI FINA,877,PRES,,,
769,190024 - SANTAN BUBUK SASA,10,PRES,,,
770,190025 - SANTAN KARA BUBUK,24,RTG,,,
771,190026 - SANTAN KARA TCA,6822,BKS,,,
772,190027 - SANTAN ROSE TCA,20,BKS,,,
25/05/2026 15:20:20,,,,Halaman ke 15 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
773,190175 - SANTAN SASA / COCOMAXI TCA ISI32,419,PCS,,,
774,190174 - SAORI LADA HITAM SC,8,RTG,,,
775,190173 - SAORI TERIYAKI MJ 140ml,-1,PCS,,,
776,190150 - SAORI TERIYAKI SC,14,RTG,,,
777,190151 - SAORI TIRAM MJ 140ml,6,PCS,,,
778,190029 - SAORI TIRAM SC,183,RTG,,,
779,190031 - SAOS LOMBOK BAHAGIA,8,BTL,,,
780,190032 - SAOS LOMBOK TIGA ANAK,74,ISI,,,
781,190146 - SAOS ROCKY,-17,PCS,,,
782,190182 - SAOS ROCKY JURIGEN,1,JRG,,,
783,190033 - SAOS SAMBAL ABC BTL 335ML BELING xxx,0,BTL,,,
784,190034 - SAOS SAMBAL ABC MJ 135ML,43,BTL,,,
785,190035 - SAOS SAMBAL ABC SC.,35,PRES,,,
786,190171 - SAOS SAMBAL CAP JEMPOL,120,BKS,,,
787,190036 - SAOS SAMBAL MENJANGAN,40,BTL,,,
788,190145 - SAOS SAMBAL SASA SC xxx,0,PRES,,,
789,190037 - SAOS TIRAM PANDA 510GR,0,BTL,,,
790,190038 - SAOS TOMAT ABC BTL 335ML,0,BTL,,,
791,190030 - SAOS TOMAT ABC JRG,11,JRG,,,
792,190039 - SAOS TOMAT ABC MJ 135ML,47,BTL,,,
793,190040 - SAOS TOMAT ABC SC.,17,PRES,,,
794,190170 - SAOS TOMAT CAP JEMPOL,72,BKS,,,
795,190041 - SAOS TOMAT MENJANGAN,56,BTL,,,
796,190042 - SARI JAHE KERATON,104,PRES,,,
797,190043 - SARI MANIS BELL,219,BKS,,,
798,190044 - SARI MANIS TAWON 1 KG,10,BKS,,,
799,190045 - SARIMI DUO GRG,930,BKS,,,
800,190046 - SARIMI DUO KUAH,50,BKS,,,
801,190047 - SASA 1KG MICIN,0,BKS,,,
802,190048 - SASA 250GR MICIN,90,BKS,,,
803,190177 - SASA MICIN RP 500,18,PRES,,,
804,190049 - SASA RP1000 MICIN,0,BKS,,,
805,190028 - SAXXXXXX,0,BKS,,,
806,190050 - SCOTCH BRITE KAWAT 4K,8.5,LSN,,,
807,190051 - SCOTCH BRITE SPON,27,LSN,,,
808,190147 - SEDANI SPAGETTI xxx,0,BKS,,,
809,190169 - SEDAP BUMBU KALDU AYAM 2+1,102,RTG,,,
810,190157 - SEDAP BUMBU KALDU SAPI 2+1,243,RTG,,,
811,190153 - SEDAP MIE BAKED GR / ST xxx,0,PCS,,,
812,190052 - SEGAR DINGIN,32.5,PRES,,,
813,190135 - SHAMPOO CLEAR BIRU SC,93,RTG,,,
814,190136 - SHAMPOO CLEAR HIJAU SC,76,RTG,,,
815,190137 - SHAMPOO CLEAR HITAM SC,0,RTG,,,
816,190053 - SHAMPOO CL____,0,RTG,,,
817,190054 - SHAMPOO DOVE SC,59,RTG,,,
818,190055 - SHAMPOO EMERON SC,77,RTG,,,
819,190056 - SHAMPOO HS HEAD SHOULDER,125,RTG,,,
820,190057 - SHAMPOO KID KODOMO,0,BTL,,,
821,190148 - SHAMPOO KID KODOMO RTG,25,RTG,,,
822,190132 - SHAMPOO LIFEBOY BIRU SC,75,RTG,,,
823,190133 - SHAMPOO LIFEBOY HIJAU SC,48,RTG,,,
824,190134 - SHAMPOO LIFEBOY MERAH SC,0,RTG,,,
25/05/2026 15:20:20,,,,Halaman ke 16 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
825,190058 - SHAMPOO LIF___,0,RTG,,,
826,190059 - SHAMPOO PANTENE 170ML,0,BTL,,,
827,190140 - SHAMPOO PANTENE BIRU SC,232,RTG,,,
828,190143 - SHAMPOO PANTENE HIJAU SC,0,RTG,,,
829,190144 - SHAMPOO PANTENE HITAM SC,100,RTG,,,
830,190141 - SHAMPOO PANTENE MERAH SC,60,RTG,,,
831,190142 - SHAMPOO PANTENE UNGU SC,0,RTG,,,
832,190060 - SHAMPOO PAN____,0,RTG,,,
833,190061 - SHAMPOO REJOICE SC,165,RTG,,,
834,190139 - SHAMPOO SUNSILK HITAM SC,64,RTG,,,
835,190138 - SHAMPOO SUNSILK KUNING SC,88,RTG,,,
836,190062 - SHAMPOO SUN____,0,RTG,,,
837,190063 - SHAMPOO ZINC SC,113,RTG,,,
838,190064 - SIDOMUNCUL KOPI JAHE,193,RTG,,,
839,190065 - SIDOMUNCUL SUSU JAHE,412,RTG,,,
840,190066 - SIKAT GIGI CIPTADENT,248,PCS,,,
841,190067 - SIKAT GIGI CIPTADENT ISI 3,0,PCS,,,
842,190068 - SIKAT GIGI FORMULA,84,BIJI,,,
843,190069 - SIKAT GIGI KODOMO PRO KID xxx,0,PCS,,,
844,190073 - SILET GOAL,1505,PCS,,,
845,190070 - SILET GOAL BLUE 2,60,PCS,,,
846,190071 - SILET GOAL BLUE 3,39,PCS,,,
847,190072 - SILET GOAL KUNING,2,PCS,,,
848,190074 - SIRUP ABC ORANGE,572,BTL,,,
849,190075 - SIRUP ABC SPC,35,BTL,,,
850,190183 - SO SOFT 700ml,61,BKS,,,
851,190155 - SO SOFT SC 80ML,416,RTG,,,
852,190076 - SODA KUE,361,ONS,,,
853,190154 - Soda Kue Jepang,1.75,KG,,,
854,190077 - SODA KUE RW,27,PRES,,,
855,190078 - SOHUN RRC NAGA 250GR,0,BKS,,,
856,190079 - SOHUN RRC NAGA 50GR,228,BKS,,,
857,190080 - SOHUN SRIMPI BR,960,BKS,,,
858,190081 - SOHUN SRIMPI K,130,BKS,,,
859,190082 - SOHUN SRIMPI MR,80,BKS,,,
860,190084 - SOKLIN ALL IN 60GR xxx,0,LSN,,,
861,190131 - SOKLIN BIOMATIC FRONT LOAD 1KG,80,PCS,,,
862,190085 - SOKLIN BUBUK 210gr 5000an,159,BKS,,,
863,190086 - SOKLIN BUBUK 800GR,110,BKS,,,
864,190088 - SOKLIN BUBUK PK,173.5,LSN,,,
865,190089 - SOKLIN LANTAI 450ML xxx,0,BKS,,,
866,190090 - SOKLIN LANTAI 800ML,59,BKS,,,
867,190091 - SOKLIN LANTAI RF 1000AN,102,BKS,,,
868,190092 - SOKLIN LANTAI SC,-4,RTG,,,
869,190093 - SOKLIN LIQUID 100ML RV,640,BKS,,,
870,190158 - SOKLIN LIQUID 215ML 5000AN,13,PCS,,,
871,190094 - SOKLIN LIQUID 800ML,2960,BKS,,,
872,190095 - SOKLIN LIQUID SC 40 ML 1000AN,291,LSN,,,
873,190096 - SOKLIN LIQUID SC.,430,LSN,,,
874,190097 - SOKLIN PEMUTIH 1000ML,65,BTL,,,
875,190098 - SOKLIN PEMUTIH 100ML,109,BTL,,,
876,190099 - SOKLIN PEMUTIH 500ML,0,BTL,,,
25/05/2026 15:20:20,,,,Halaman ke 17 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
877,190100 - SOKLIN PEMUTIH SC,430,PRES,,,
878,190101 - SOKLIN PEWANGI 450ML xxx,0,BKS,,,
879,190102 - SOKLIN PEWANGI 900ML,20,BKS,,,
880,190103 - SOKLIN PEWANGI GLAMOR SC. xxx,0,RTG,,,
881,190104 - SOKLIN PEWANGI RF 1000AN,0,BKS,,,
882,190105 - SOKLIN PEWANGI SC,48,RTG,,,
883,190178 - SOKLIN ROYALE 52ML 1000AN,3,RTG,,,
884,190106 - SOKLIN ROYALE SC. P500,207,RTG,,,
885,190152 - SOKLIN SMART 725Gr,23,BKS,,,
886,190108 - SOKLIN SOFTENER 900ML xxx,0,BKS,,,
887,190109 - SOKLIN SOFTENER PREMIUM xxx,0,RTG,,,
888,190110 - SOKLIN SOFTENER RF 1000AN xxx,0,BKS,,,
889,190107 - SOKLIN SOFTENER SC xxx,0,RTG,,,
890,190083 - SOKLIN xxxxx,0,RTG,,,
891,190087 - SOKLIN xxxxxxxxxxx BUBUK MB xxx,0,LSN,,,
892,190111 - SOSIS SO NICE,73,PCS,,,
893,190112 - SP TBM QUICK B,28,BKS,,,
894,190113 - SP TBM QUICK K,644,BKS,,,
895,190114 - STMJ SIDOMUNCUL,44,RTG,,,
896,190164 - SUMBO RAJAWALI COKLAT,36,BTL,,,
897,190161 - SUMBO RAJAWALI HIJAU APEL,149,BTL,,,
898,190167 - SUMBO RAJAWALI HIJAU MUDA,189,BTL,,,
899,190163 - SUMBO RAJAWALI HIJAU PANDAN,58,BTL,,,
900,190162 - SUMBO RAJAWALI HIJAU TUA,36,BTL,,,
901,190165 - SUMBO RAJAWALI HITAM,24,BTL,,,
902,190115 - SUMBO RAJAWALI KUNING,120,BTL,,,
903,190159 - SUMBO RAJAWALI MERAH ARBEI,70,BTL,,,
904,190160 - SUMBO RAJAWALI MERAH MUDA,131,BTL,,,
